condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
deterministic,0.0012,0.072667,-1.525976,0.025578,1,1,1,1
deterministic,0.1013,0.073444,-1.526934,0.025025,1,1,1,1
deterministic,0.2014,0.06895,-1.527343,0.025829,1,1,1,1
deterministic,0.3015,0.064931,-1.527199,0.02643,1,1,1,1
deterministic,0.4016,0.070816,-1.527647,0.027074,1,1,1,1
deterministic,0.5017,0.072202,-1.527697,0.027461,1,1,1,1
deterministic,0.6018,0.072026,-1.527417,0.027332,1,1,1,1
deterministic,0.702,0.074565,-1.527187,0.027019,1,1,1,1
deterministic,0.8021,0.075409,-1.526876,0.026508,1,1,1,1
deterministic,0.9022,0.075222,-1.526755,0.026383,1,1,1,1
deterministic,1.0024,0.074966,-1.527022,0.027123,1,1,1,1
deterministic,1.1027,0.070074,-1.526554,0.027222,1,1,1,1
deterministic,1.2028,0.075338,-1.526115,0.027017,1,1,1,1
deterministic,1.3029,0.069833,-1.526598,0.027356,1,1,1,1
deterministic,1.403,0.072224,-1.524593,0.027809,1,1,1,1
deterministic,1.503,0.077738,-1.522208,0.028759,1,1,1,1
deterministic,1.6031,0.075191,-1.523285,0.027137,1,1,1,1
deterministic,1.7032,0.065765,-1.522394,0.028481,1,1,1,1
deterministic,1.8032,0.064529,-1.52229,0.031032,1,1,1,1
deterministic,1.9033,0.072199,-1.514891,0.040533,1,1,1,1
deterministic,2.0034,0.078172,-1.507979,0.050337,1,1,1,1
deterministic,2.1034,0.074409,-1.500671,0.058093,1,1,1,1
deterministic,2.2035,0.077117,-1.495416,0.066038,1,1,1,1
deterministic,2.3036,0.066125,-1.492954,0.074064,1,1,1,1
deterministic,2.4036,0.071313,-1.494294,0.081834,1,1,1,1
deterministic,2.5037,0.068284,-1.496778,0.08842,1,1,1,1
deterministic,2.6038,0.070398,-1.501611,0.093933,1,1,1,1
deterministic,2.7038,0.071737,-1.50648,0.099443,1,1,1,1
deterministic,2.8039,0.073793,-1.510243,0.104223,1,1,1,1
deterministic,2.9039,0.075901,-1.51295,0.109535,1,1,1,1
deterministic,3.004,0.072667,-1.513172,0.114397,1,1,1,1
deterministic,3.1041,0.066681,-1.514396,0.121999,1,1,1,1
deterministic,3.2042,0.0586,-1.517359,0.131461,1,1,1,1
deterministic,3.3043,0.050834,-1.523001,0.145246,1,1,1,1
deterministic,3.4043,0.043912,-1.500893,0.119865,1,1,1,1
deterministic,3.5044,0.040025,-1.493086,0.119979,1,1,1,1
deterministic,3.6044,0.029082,-1.483064,0.12503,1,1,1,1
deterministic,3.7045,0.01673,-1.467331,0.133102,1,1,1,1
deterministic,3.8046,0.005568,-1.437032,0.142937,1,1,1,1
deterministic,3.9046,-0.036477,-1.40183,0.150521,1,1,1,1
deterministic,4.0047,-0.068998,-1.358556,0.154487,1,1,1,1
deterministic,4.1048,-0.10757,-1.318603,0.158474,1,1,1,1
deterministic,4.2048,-0.144399,-1.286295,0.16306,1,1,1,1
deterministic,4.3049,-0.168452,-1.26516,0.163175,1,1,1,1
deterministic,4.4049,-0.191921,-1.261231,0.183451,1,1,1,1
deterministic,4.505,-0.212863,-1.246938,0.195693,1,1,1,1
deterministic,4.6051,-0.249035,-1.22314,0.203231,1,1,1,1
deterministic,4.7051,-0.267423,-1.189359,0.207622,1,1,1,1
deterministic,4.8052,-0.303107,-1.144927,0.204292,1,1,1,1
deterministic,4.9052,-0.32745,-1.103892,0.20085,1,1,1,1
deterministic,5.0053,-0.355209,-1.065191,0.199261,1,1,1,1
