condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
deterministic_nominal,0.0005,0.024801,-1.513091,0.219303,1,1,1,1
deterministic_nominal,0.1006,0.007818,-1.507185,0.219229,1,1,1,1
deterministic_nominal,0.2007,0.005953,-1.503081,0.221687,1,1,1,1
deterministic_nominal,0.3008,0.024246,-1.502073,0.224819,1,1,1,1
deterministic_nominal,0.4009,0.030624,-1.500729,0.231053,1,1,1,1
deterministic_nominal,0.5011,0.027269,-1.497753,0.237937,1,1,1,1
deterministic_nominal,0.6012,0.014443,-1.490425,0.243028,1,1,1,1
deterministic_nominal,0.7013,0.018415,-1.473032,0.24662,1,1,1,1
deterministic_nominal,0.8014,-0.01968,-1.43716,0.236083,1,1,1,1
deterministic_nominal,0.9015,-0.069033,-1.394253,0.223694,1,1,1,1
deterministic_nominal,1.0017,-0.095901,-1.340496,0.209214,1,1,1,1
deterministic_nominal,1.1017,-0.139169,-1.303249,0.205625,1,1,1,1
deterministic_nominal,1.2019,-0.174519,-1.282267,0.210324,1,1,1,1
deterministic_nominal,1.302,-0.203789,-1.290632,0.231821,1,1,1,1
deterministic_nominal,1.4021,-0.230595,-1.296888,0.250023,1,1,1,1
deterministic_nominal,1.5023,-0.259269,-1.290259,0.257109,1,1,1,1
deterministic_nominal,1.6025,-0.284401,-1.262612,0.254133,1,1,1,1
deterministic_nominal,1.7026,-0.29289,-1.216604,0.245679,1,1,1,1
deterministic_nominal,1.8028,-0.331922,-1.158004,0.23601,1,1,1,1
deterministic_nominal,1.9029,-0.358686,-1.100541,0.231464,1,1,1,1
deterministic_nominal,2.003,-0.386957,-1.048249,0.22803,1,1,1,1
deterministic_nominal,2.1033,-0.413332,-1.000597,0.226278,1,1,1,1
deterministic_nominal,2.2033,-0.441771,-0.969003,0.246879,1,1,1,1
deterministic_nominal,2.3034,-0.457012,-0.930064,0.257168,1,1,1,1
deterministic_nominal,2.4035,-0.461722,-0.907332,0.249074,1,1,1,1
