condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
deterministic_nominal,0.0012,-0.0,-1.5,0.2,1,1,1,1
deterministic_nominal,0.7789,-0.239857,-1.261111,0.2,1,1,1,1
deterministic_nominal,1.4796,-0.420912,-1.022222,0.2,1,1,1,1
deterministic_nominal,2.0829,-0.498782,-0.783333,0.2,1,1,1,1
deterministic_nominal,2.6692,-0.454376,-0.544444,0.2,1,1,1,1
deterministic_nominal,3.3401,-0.298579,-0.305556,0.2,1,1,1,1
deterministic_nominal,4.1022,-0.069587,-0.066667,0.2,1,1,1,1
deterministic_nominal,4.8883,0.176465,0.172222,0.2,1,1,1,1
deterministic_nominal,5.6158,0.379257,0.411111,0.2,1,1,1,1
deterministic_nominal,6.2419,0.489074,0.65,0.2,1,1,1,1
