condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
deterministic_wind,0.0001,0.027983,-1.49968,0.20653,1,1,1,1
deterministic_wind,0.1003,0.03921,-1.487116,0.210193,1,1,1,1
deterministic_wind,0.2004,0.040176,-1.480647,0.213013,1,1,1,1
deterministic_wind,0.3005,0.027948,-1.472804,0.206899,1,1,1,1
deterministic_wind,0.4007,0.042756,-1.472019,0.209066,1,1,1,1
deterministic_wind,0.501,0.035959,-1.471973,0.212713,1,1,1,1
deterministic_wind,0.6011,0.037902,-1.464044,0.218865,1,1,1,1
deterministic_wind,0.7016,0.013102,-1.444949,0.220148,1,1,1,1
deterministic_wind,0.8021,-0.028625,-1.415967,0.218957,1,1,1,1
deterministic_wind,0.9024,-0.074791,-1.376201,0.213821,1,1,1,1
deterministic_wind,1.0029,-0.115264,-1.336726,0.208093,1,1,1,1
deterministic_wind,1.103,-0.151562,-1.301132,0.204051,1,1,1,1
deterministic_wind,1.203,-0.177293,-1.275043,0.206613,1,1,1,1
deterministic_wind,1.3034,-0.192419,-1.255157,0.211733,1,1,1,1
deterministic_wind,1.4038,-0.19556,-1.233962,0.21771,1,1,1,1
deterministic_wind,1.5039,-0.204485,-1.207373,0.223775,1,1,1,1
deterministic_wind,1.604,-0.213344,-1.17346,0.226747,1,1,1,1
deterministic_wind,1.704,-0.242161,-1.136472,0.22947,1,1,1,1
deterministic_wind,1.8042,-0.287946,-1.091158,0.221906,1,1,1,1
deterministic_wind,1.9043,-0.331928,-1.05265,0.220144,1,1,1,1
deterministic_wind,2.0043,-0.348042,-1.016261,0.213617,1,1,1,1
deterministic_wind,2.1046,-0.384588,-0.979563,0.217551,1,1,1,1
deterministic_wind,2.2047,-0.405102,-0.934578,0.21928,1,1,1,1
deterministic_wind,2.3048,-0.423695,-0.891037,0.221475,1,1,1,1
deterministic_wind,2.4049,-0.441032,-0.850963,0.224274,1,1,1,1
deterministic_wind,2.505,-0.442829,-0.812532,0.22348,1,1,1,1
deterministic_wind,2.6052,-0.441535,-0.781883,0.220175,1,1,1,1
deterministic_wind,2.7053,-0.44186,-0.747577,0.22197,1,1,1,1
deterministic_wind,2.8054,-0.435458,-0.702899,0.224362,1,1,1,1
deterministic_wind,2.9055,-0.43148,-0.661345,0.224379,1,1,1,1
deterministic_wind,3.0057,-0.421449,-0.604989,0.224084,1,1,1,1
deterministic_wind,3.1059,-0.408599,-0.559223,0.2235,1,1,1,1
deterministic_wind,3.206,-0.393918,-0.529118,0.220805,1,1,1,1
deterministic_wind,3.3061,-0.365775,-0.508218,0.224035,1,1,1,1
deterministic_wind,3.4063,-0.330605,-0.491205,0.230316,1,1,1,1
deterministic_wind,3.5063,-0.284454,-0.470161,0.238492,1,1,1,1
deterministic_wind,3.6064,-0.234885,-0.44013,0.25149,1,1,1,1
deterministic_wind,3.7065,-0.18331,-0.400599,0.263115,1,1,1,1
deterministic_wind,3.8066,-0.1501,-0.358098,0.262678,1,1,1,1
deterministic_wind,3.9067,-0.130308,-0.319627,0.260397,1,1,1,1
deterministic_wind,4.0068,-0.09153,-0.301599,0.273218,1,1,1,1
deterministic_wind,4.1069,-0.05846,-0.274534,0.275983,1,1,1,1
deterministic_wind,4.207,-0.018703,-0.242439,0.276503,1,1,1,1
deterministic_wind,4.3072,0.018841,-0.208382,0.273392,1,1,1,1
