condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
pdstl,0.0012,0.023027,-1.515985,0.02385,1,1,1,1
pdstl,0.1013,0.018679,-1.516005,0.023895,1,1,1,1
pdstl,0.2013,0.019082,-1.515547,0.023949,1,1,1,1
pdstl,0.3015,0.023955,-1.515297,0.023739,1,1,1,1
pdstl,0.4016,0.023185,-1.515597,0.023879,1,1,1,1
pdstl,0.5017,0.022553,-1.515249,0.023874,1,1,1,1
pdstl,0.6018,0.022915,-1.515302,0.024019,1,1,1,1
pdstl,0.7019,0.021212,-1.514917,0.023775,1,1,1,1
pdstl,0.802,0.023361,-1.515574,0.024249,1,1,1,1
pdstl,0.9021,0.023561,-1.515722,0.024306,1,1,1,1
pdstl,1.0022,0.022318,-1.515594,0.024234,1,1,1,1
pdstl,1.1024,0.023553,-1.51542,0.024251,1,1,1,1
pdstl,1.2025,0.023085,-1.515296,0.024187,1,1,1,1
pdstl,1.3026,0.023191,-1.515229,0.024692,1,1,1,1
pdstl,1.4027,0.020032,-1.514446,0.024434,1,1,1,1
pdstl,1.5028,0.021014,-1.513537,0.025359,1,1,1,1
pdstl,1.6029,0.026923,-1.51212,0.027173,1,1,1,1
pdstl,1.703,0.020335,-1.511142,0.029259,1,1,1,1
pdstl,1.8031,0.030951,-1.511613,0.031816,1,1,1,1
pdstl,1.9034,0.025716,-1.508356,0.037399,1,1,1,1
pdstl,2.0035,0.021212,-1.506218,0.044603,1,1,1,1
pdstl,2.1036,0.01611,-1.503322,0.055264,1,1,1,1
pdstl,2.2036,0.012042,-1.502558,0.065398,1,1,1,1
pdstl,2.3038,0.019155,-1.500036,0.074735,1,1,1,1
pdstl,2.4039,0.029774,-1.497092,0.084548,1,1,1,1
pdstl,2.5042,0.028225,-1.492897,0.091902,1,1,1,1
pdstl,2.6043,0.03641,-1.487995,0.098464,1,1,1,1
pdstl,2.7044,0.037588,-1.48153,0.101678,1,1,1,1
pdstl,2.8045,0.039446,-1.47778,0.105149,1,1,1,1
pdstl,2.9047,0.024901,-1.476617,0.108124,1,1,1,1
pdstl,3.0048,0.035429,-1.477732,0.112403,1,1,1,1
pdstl,3.1049,0.044312,-1.481071,0.118828,1,1,1,1
pdstl,3.205,0.044731,-1.48499,0.125534,1,1,1,1
pdstl,3.3051,0.052896,-1.488569,0.133109,1,1,1,1
pdstl,3.4053,0.055798,-1.491556,0.139599,1,1,1,1
pdstl,3.5054,0.057565,-1.492481,0.14549,1,1,1,1
pdstl,3.6055,0.045677,-1.490036,0.149525,1,1,1,1
pdstl,3.7056,0.018085,-1.48139,0.150575,1,1,1,1
pdstl,3.8058,-0.026193,-1.467685,0.150588,1,1,1,1
pdstl,3.9059,-0.087478,-1.451091,0.151156,1,1,1,1
pdstl,4.006,-0.147051,-1.434764,0.154158,1,1,1,1
pdstl,4.1061,-0.188297,-1.422526,0.15405,1,1,1,1
pdstl,4.2062,-0.229017,-1.411112,0.157782,1,1,1,1
pdstl,4.3063,-0.24556,-1.432946,0.179353,1,1,1,1
pdstl,4.4064,-0.259549,-1.433851,0.192047,1,1,1,1
pdstl,4.5066,-0.300976,-1.426593,0.207069,1,1,1,1
pdstl,4.6067,-0.323301,-1.39427,0.210813,1,1,1,1
pdstl,4.7068,-0.369966,-1.347638,0.20793,1,1,1,1
pdstl,4.8069,-0.421629,-1.294143,0.202517,1,1,1,1
pdstl,4.907,-0.47019,-1.241192,0.196721,1,1,1,1
pdstl,5.0071,-0.50911,-1.197452,0.189806,1,1,1,1
pdstl,5.1072,-0.536263,-1.163454,0.182291,1,1,1,1
pdstl,5.2073,-0.553638,-1.134215,0.181453,1,1,1,1
pdstl,5.3074,-0.557178,-1.128676,0.21802,1,1,1,1
