condition,t,x,y,z,outside_obs1,outside_obs2,safe
pdstl_nominal,0.0011,-0.0,-1.5,0.2,1,1,1
pdstl_nominal,0.7784,-0.239857,-1.261111,0.2,1,1,1
pdstl_nominal,1.4783,-0.420912,-1.022222,0.2,1,1,1
pdstl_nominal,2.0812,-0.498782,-0.783333,0.2,1,1,1
pdstl_nominal,2.6674,-0.454376,-0.544444,0.2,1,1,1
pdstl_nominal,3.338,-0.298579,-0.305556,0.2,1,1,1
pdstl_nominal,4.1001,-0.069587,-0.066667,0.2,1,1,1
pdstl_nominal,4.8863,0.176465,0.172222,0.2,1,1,1
pdstl_nominal,5.6133,0.379257,0.411111,0.2,1,1,1
pdstl_nominal,6.2393,0.489074,0.65,0.2,1,1,1
