condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
pdstl_nominal,0.0005,0.04243,-1.483248,0.223648,1,1,1,1
pdstl_nominal,0.1007,0.039921,-1.486178,0.225167,1,1,1,1
pdstl_nominal,0.2008,0.03027,-1.490821,0.227306,1,1,1,1
pdstl_nominal,0.3009,0.017509,-1.495338,0.229111,1,1,1,1
pdstl_nominal,0.401,-0.002905,-1.498941,0.230811,1,1,1,1
pdstl_nominal,0.5011,-0.003343,-1.499946,0.231622,1,1,1,1
pdstl_nominal,0.6012,0.000548,-1.49383,0.231693,1,1,1,1
pdstl_nominal,0.7013,-0.006012,-1.476605,0.229811,1,1,1,1
pdstl_nominal,0.8014,-0.028306,-1.447761,0.225284,1,1,1,1
pdstl_nominal,0.9017,-0.041411,-1.41059,0.221399,1,1,1,1
pdstl_nominal,1.0018,-0.065057,-1.370039,0.218563,1,1,1,1
pdstl_nominal,1.1019,-0.08847,-1.335833,0.219311,1,1,1,1
pdstl_nominal,1.2021,-0.111061,-1.309481,0.221715,1,1,1,1
pdstl_nominal,1.3022,-0.131511,-1.295207,0.229314,1,1,1,1
pdstl_nominal,1.4023,-0.152086,-1.28085,0.236018,1,1,1,1
pdstl_nominal,1.5024,-0.180133,-1.260419,0.243728,1,1,1,1
pdstl_nominal,1.6025,-0.209086,-1.226566,0.24683,1,1,1,1
pdstl_nominal,1.7026,-0.246382,-1.182289,0.245491,1,1,1,1
pdstl_nominal,1.8027,-0.270165,-1.132017,0.241108,1,1,1,1
pdstl_nominal,1.9028,-0.29354,-1.082382,0.235233,1,1,1,1
pdstl_nominal,2.0029,-0.318545,-1.034815,0.231195,1,1,1,1
pdstl_nominal,2.103,-0.349672,-0.98948,0.232251,1,1,1,1
pdstl_nominal,2.2031,-0.366533,-0.942746,0.228516,1,1,1,1
pdstl_nominal,2.3031,-0.392236,-0.899284,0.231817,1,1,1,1
pdstl_nominal,2.4032,-0.410742,-0.858362,0.236293,1,1,1,1
pdstl_nominal,2.5035,-0.415124,-0.826784,0.232224,1,1,1,1
pdstl_nominal,2.6037,-0.425831,-0.794342,0.231664,1,1,1,1
pdstl_nominal,2.7038,-0.424563,-0.759356,0.22978,1,1,1,1
pdstl_nominal,2.8039,-0.428125,-0.716246,0.22779,1,1,1,1
pdstl_nominal,2.904,-0.432163,-0.668722,0.226277,1,1,1,1
pdstl_nominal,3.0041,-0.430147,-0.622236,0.226047,1,1,1,1
pdstl_nominal,3.1042,-0.429505,-0.581343,0.226499,1,1,1,1
pdstl_nominal,3.2043,-0.422746,-0.546944,0.227949,1,1,1,1
pdstl_nominal,3.3044,-0.408325,-0.518021,0.228938,1,1,1,1
pdstl_nominal,3.4045,-0.383669,-0.483525,0.229884,1,1,1,1
pdstl_nominal,3.5048,-0.351362,-0.445033,0.229313,1,1,1,1
pdstl_nominal,3.6049,-0.319601,-0.404467,0.229292,1,1,1,1
pdstl_nominal,3.705,-0.288872,-0.36539,0.229184,1,1,1,1
pdstl_nominal,3.8051,-0.268271,-0.331637,0.230154,1,1,1,1
pdstl_nominal,3.9052,-0.249919,-0.302407,0.228538,1,1,1,1
pdstl_nominal,4.0054,-0.227491,-0.274295,0.222963,1,1,1,1
pdstl_nominal,4.1055,-0.202183,-0.242675,0.220133,1,1,1,1
pdstl_nominal,4.2058,-0.170148,-0.203868,0.217122,1,1,1,1
pdstl_nominal,4.3059,-0.137912,-0.162402,0.215428,1,1,1,1
pdstl_nominal,4.406,-0.09592,-0.125106,0.209664,1,1,1,1
pdstl_nominal,4.5061,-0.062817,-0.090187,0.210292,1,1,1,1
pdstl_nominal,4.6062,-0.03966,-0.06211,0.215957,1,1,1,1
pdstl_nominal,4.7063,-0.022813,-0.039342,0.226536,1,1,1,1
pdstl_nominal,4.8064,-0.005446,-0.032792,0.212915,1,1,1,1
pdstl_nominal,4.9065,0.016138,-0.008305,0.205697,1,1,1,1
pdstl_nominal,5.0068,0.050273,0.029966,0.196452,1,1,1,1
