condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
pdstl_nominal,0.001,0.0,-1.5,0.2,1,1,1,1
pdstl_nominal,0.7425,-0.215939,-1.263048,0.2,1,1,1,1
pdstl_nominal,1.4201,-0.377669,-1.024282,0.2,1,1,1,1
pdstl_nominal,2.0197,-0.444995,-0.783982,0.2,1,1,1,1
pdstl_nominal,2.611,-0.400783,-0.542486,0.2,1,1,1,1
pdstl_nominal,3.2882,-0.252541,-0.295054,0.2,1,1,1,1
pdstl_nominal,4.0602,-0.035535,-0.039707,0.2,1,1,1,1
pdstl_nominal,4.8498,0.193616,0.217672,0.2,1,1,1,1
pdstl_nominal,5.5033,0.359465,0.438891,0.2,1,1,1,1
pdstl_nominal,6.0992,0.489,0.65,0.2,1,1,1,1
