condition,t,x,y,z,outside_obs1,outside_obs2,safe
pdstl_wind,0.0001,0.0,-1.5,0.2,1,1,1
pdstl_wind,0.7474,-0.216549,-1.259833,0.2,1,1,1
pdstl_wind,1.4219,-0.379066,-1.023143,0.2,1,1,1
pdstl_wind,1.9962,-0.446258,-0.795889,0.2,1,1,1
pdstl_wind,2.5341,-0.395331,-0.583166,0.2,1,1,1
pdstl_wind,3.1461,-0.233426,-0.385135,0.2,1,1,1
pdstl_wind,3.8713,0.002609,-0.180403,0.2,1,1,1
pdstl_wind,4.6991,0.244408,0.091364,0.2,1,1,1
pdstl_wind,5.4336,0.389425,0.37331,0.2,1,1,1
pdstl_wind,6.1219,0.489,0.65,0.2,1,1,1
