condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
pdstl_wind,0.0005,0.002912,-1.509035,0.217409,1,1,1,1
pdstl_wind,0.1006,0.006493,-1.50371,0.217556,1,1,1,1
pdstl_wind,0.2009,0.034557,-1.499974,0.217438,1,1,1,1
pdstl_wind,0.301,0.038072,-1.496287,0.217478,1,1,1,1
pdstl_wind,0.4011,0.035005,-1.492694,0.218315,1,1,1,1
pdstl_wind,0.5012,0.033781,-1.486351,0.218908,1,1,1,1
pdstl_wind,0.6015,0.011507,-1.4747,0.219141,1,1,1,1
pdstl_wind,0.7016,-0.022204,-1.451927,0.21807,1,1,1,1
pdstl_wind,0.8023,-0.062386,-1.421539,0.220157,1,1,1,1
pdstl_wind,0.9027,-0.106415,-1.381912,0.218664,1,1,1,1
pdstl_wind,1.0031,-0.142436,-1.345824,0.21868,1,1,1,1
pdstl_wind,1.1032,-0.172263,-1.314172,0.218613,1,1,1,1
pdstl_wind,1.2034,-0.193713,-1.292004,0.226139,1,1,1,1
pdstl_wind,1.3036,-0.180602,-1.280995,0.22196,1,1,1,1
pdstl_wind,1.4037,-0.179698,-1.266932,0.220387,1,1,1,1
pdstl_wind,1.5038,-0.197317,-1.24786,0.223558,1,1,1,1
pdstl_wind,1.6039,-0.210724,-1.218012,0.222675,1,1,1,1
pdstl_wind,1.704,-0.251701,-1.177516,0.222408,1,1,1,1
pdstl_wind,1.8042,-0.283017,-1.134838,0.223108,1,1,1,1
pdstl_wind,1.9044,-0.326601,-1.082965,0.226521,1,1,1,1
pdstl_wind,2.0046,-0.349336,-1.028164,0.229909,1,1,1,1
pdstl_wind,2.1047,-0.368623,-0.972871,0.23114,1,1,1,1
pdstl_wind,2.2048,-0.376446,-0.923238,0.232928,1,1,1,1
pdstl_wind,2.3049,-0.382562,-0.879164,0.230608,1,1,1,1
pdstl_wind,2.4051,-0.38394,-0.845269,0.224729,1,1,1,1
pdstl_wind,2.5053,-0.3874,-0.819844,0.223936,1,1,1,1
pdstl_wind,2.6054,-0.393423,-0.790563,0.225267,1,1,1,1
pdstl_wind,2.7056,-0.39792,-0.752326,0.22748,1,1,1,1
pdstl_wind,2.8057,-0.395798,-0.70937,0.230783,1,1,1,1
pdstl_wind,2.9058,-0.390339,-0.665145,0.235669,1,1,1,1
pdstl_wind,3.006,-0.383924,-0.625409,0.238574,1,1,1,1
pdstl_wind,3.1062,-0.367505,-0.572338,0.220663,1,1,1,1
pdstl_wind,3.2063,-0.336144,-0.527666,0.21435,1,1,1,1
pdstl_wind,3.3064,-0.297749,-0.482635,0.216102,1,1,1,1
pdstl_wind,3.4066,-0.251086,-0.44554,0.231498,1,1,1,1
pdstl_wind,3.5067,-0.20658,-0.448361,0.229091,1,1,1,1
pdstl_wind,3.6069,-0.169695,-0.45185,0.233378,1,1,1,1
pdstl_wind,3.7071,-0.145277,-0.461235,0.233826,1,1,1,1
pdstl_wind,3.8072,-0.128052,-0.461784,0.230275,1,1,1,1
pdstl_wind,3.9076,-0.116721,-0.44156,0.226439,1,1,1,1
pdstl_wind,4.0078,-0.100688,-0.392772,0.229633,1,1,1,1
pdstl_wind,4.1079,-0.07986,-0.330072,0.23597,1,1,1,1
pdstl_wind,4.2082,-0.044888,-0.258121,0.247317,1,1,1,1
pdstl_wind,4.3084,-0.011788,-0.197177,0.256442,1,1,1,1
pdstl_wind,4.4085,0.028909,-0.163132,0.258672,1,1,1,1
pdstl_wind,4.5086,0.058209,-0.142449,0.246895,1,1,1,1
pdstl_wind,4.6088,0.084471,-0.1483,0.238642,1,1,1,1
pdstl_wind,4.7092,0.109018,-0.144948,0.221311,1,1,1,1
pdstl_wind,4.8093,0.1331,-0.13257,0.207452,1,1,1,1
pdstl_wind,4.9095,0.149988,-0.099887,0.198615,1,1,1,1
pdstl_wind,5.0097,0.160253,-0.053613,0.195191,1,1,1,1
pdstl_wind,5.1102,0.16614,0.004011,0.204981,1,1,1,1
pdstl_wind,5.2104,0.163684,0.055934,0.214437,1,1,1,1
pdstl_wind,5.3106,0.164453,0.099557,0.219034,1,1,1,1
