t,x,y,z,safety_prob
2.667,-0.7380,1.8447,0.3196,1.0000
7.382,-0.7295,1.7969,0.4166,1.0000
7.909,-0.7295,1.7969,0.4166,1.0000
8.498,-0.7295,1.7969,0.4166,1.0000
9.138,-0.7295,1.7969,0.4166,1.0000
9.819,-0.7295,1.7969,0.4166,1.0000
10.534,-0.7295,1.7969,0.4166,1.0000
11.271,-0.7295,1.7969,0.4166,1.0000
12.023,-0.7295,1.7969,0.4166,1.0000
12.781,-0.7295,1.7969,0.4166,1.0000
13.539,-0.7295,1.7969,0.4166,1.0000
14.288,-0.7295,1.7969,0.4166,1.0000
15.024,-0.7295,1.7969,0.4166,1.0000
15.743,-0.7295,1.7969,0.4166,1.0000
16.444,-0.7295,1.7969,0.4166,1.0000
17.126,-0.7295,1.7969,0.4166,1.0000
17.796,-0.7295,1.7969,0.4166,1.0000
18.462,-0.7295,1.7969,0.4166,1.0000
19.140,-0.7295,1.7969,0.4166,1.0000
19.847,-0.7295,1.7969,0.4166,1.0000
